VEND_NAME,ADDR_DC,LN_1_ADR,LN_2_ADR,LN_3_ADR,CITY_NAME,MAIL_STATE_DC,POSTAL_CD,VEND_APPRVL_CD,VEND_GRP_CD,lat,lon
ATLANTIC FAB. & BOILER ,ORD,1 BEECHWOOD COURT , , ,PORTSMOUTH,VA,23702,A,CRTCAL,,
ATLANTIC FAB. & BOILER ,PMT,PO BOX 6390, , ,CHESAPEAKE,VA,23323-0390,A,CRTCAL,,
ATLANTIC LIFT SYSTEMS,PMT1,3501 PROGRESS ROAD, , ,NORFOLK,VA,23502,A,CRTCAL,,
ATLANTIC LIFT SYSTEMS INC,ORD1,3501 PROGRESS RD, , ,NORFOLK,VA,23502,A,CRTCAL,,
ATLANTIC MARINE GENERATOR,1,1630 BARRON ST, , ,PORTSMOUTH,VA,23704,A,CRTCAL,,
ATLANTIC MARINE GENERATOR,ORD1,4006 VICTORY BLVD,SUITE J # 901, ,PORTSMOUTH,VA,23701,A,CRTCAL,,
ATLANTIC MARINE GENERATOR,PMT 1,4006 VICTORY BLVD,SUITE J # 901, ,PORTSMOUTH,VA,23701,A,CRTCAL,,
ATLANTIC MARINE GENERATOR,1099,4006 VICTORY BLVD,SUITE J #901, ,PORTSMOUTH,VA,23701,A,CRTCAL,,
ATLANTIC MARINE LLC,ORD1,337 REDOUBT RD, , ,YORKTOWN,VA,23692,A,SUB,,
ATLANTIC RIGGING,PMT1,51 Hertzler Road, , ,Newport News,VA,23602,A,RIGGNG,,
ATLAS BRONZE,ORD/PMT,445 BUNTING AVE., , ,TRENTON,NJ,08611,A,BRZ,,
ATLAS BRONZE,ORD/PMT,445 BUNTING AVE, , ,TRENTON,NJ,08611,A,HDW,,
ATS,ORD1,PO Box 28, , ,Yorktown Heights,NY,10598,A,LUBE,,
AUTOMATED PRECISION,ORD1,750 City Center Boulevard, , ,Newport News,VA,23606,A,CALIBR,,
AUTOMATED PRECISION,PYMNT 1,15000 JOHN HOPKINS DRIVE, , ,Rockville,VA,20850,A,CALIBR,,
AUTOMATED PRECISION,PMT 1,15000 JOHN HOPKINS DRIVE, , ,ROCKVILLE,MD,20850-3980,A,CALBR,,
AUTOMATED PRECISION,ORD1,750 City Center Boulevard, , ,Newport News,VA,23606,A,CALBR,,
AUTOMATED PROCESS EQUIP,ORD1,25498 Mary Morris rd , , ,Chestertown ,MD,21620,A,SUB,,
AUTOMATED PROCESS EQUIP,PMT1,1201 N. Fourth Ave , , ,Lake Odessa ,MI,48849,A,SUB,,
AUTOMATION DIRECT,ORD1,3505 Hutchinson Road, , ,Cumming,GA,30040,A,ELCTRN,,
AUTOMATION DIRECT,PMT1,PO Box 402417, , ,Atlanta,GA,30384-2417,A,ELCTRN,,
"AUXILIARY SYSTEMS, INC.",ORD1,"PO BOX 546, 311 EAST 24TH ST.", , ,NORFOLK,VA,23501,A,CRTCAL,,
"AUXILIARY SYSTEMS, INC.",PMT1,PO BOX 546, , ,NORFOLK,VA,23501-0546,A,CRTCAL,,
"AUXILIARY SYSTEMS, INC.",PMT2,c/o ADVANCE BUSINESS CAPITAL LLC,PO Box 610028, ,Dallas,TX,75261-0028,A,CRTCAL,,
AVIA DYNAMICS,ORD1,350 Cortez Circle , , ,CAMARILLO,CA,93012,A,ELECTR,,
AVNET,ORD1,2211 SOUTH 47TH STREET, , ,PHOENIX,AZ,85034,A,ELECTR,,
AWC,PMT 2,PO BOX 26157, , ,COLLEGEVILLE,PA,19426-0157,A,ELECTR,,
AWC,PMT1,101 Kestrel Drive, , ,COLLEVILLE,PA,19426,A,ELECTR,,
AWC - ALLIED WIRE & CABLE,ORD1,101 Kestrel Drive, , ,Collegeville,PA,19426-0157,A,WR/CBL,,
AWC - ALLIED WIRE & CABLE,PMT1,PO Box 26157, , ,Collegeville,PA,19426-0157,A,WR/CBL,,
AYERS MARINE ELECTRONICS,PMT1,638 PROSPERITY WAY, , ,CHESAPEAKE,VA,23320,A,ELECTR,,
B & B HOSE AND RUBBER CO.,PMT1,4604 BAINBRIDGE, , ,CHESAPEAKE,VA,23320,A,CRTCAL,,
B & B HOSE AND RUBBER CO.,ORD1,4604 BAINBRIDGE BLVD., , ,CHESAPEAKE,VA,23320,A,CRTCAL,,
B & B HOSE AND RUBBER CO.,PMT1,4604 BAINBRIDGE BOULEVARD, , ,"CHESAPEAKE,",VA,23320,A,CRTCAL,,
B & B HOSE AND RUBBER CO.,PMT2, 412 Aberdeen Rd, , ,HAMPTON,VA,23661,A,CRTCAL,,
B & S BOLTS CORPORATION,PMT1,2610 ARKANSAS AVE., , ,NORFOLK,VA,23513,A,HDW,,
B & S BOLTS CORPORATION,ORD1,2610 ARKANSAS AVENUE, , ,NORFOLK,VA,23513,A,HDW,,
B & S BOLTS CORPORATION,PMT1,2610 ARKANSAS AVENUE, , ,"NORFOLK,",VA,23513,A,HDW,,
B&B INSULATION LLC,ORD,5178 Cleveland ST, , ,Virginia Beach,VA,23462-6502,A,CRTCAL,,
B&B INSULATION LLC,1099,5178 CLEVELAND STREET, , ,VIRGINIA BEACH,VA,23462,A,CRTCAL,,
B&L MACHINE & FABRICATION,ORD1,3411 ARMHERST ST., , ,NORFOLK,VA,23513,A,CRTCAL,,
B&L MACHINE & FABRICATION,PMT1,3411 Amherst Street, , ,Norfolk,VA,23513,A,CRTCAL,,
BACK CREEK MARINE,299 BOAT Y,299 Boat Yard Road,P.O. Box 250, ,Chesapeake City,MD,21915,A,HDW,,
BAE SYSTEMS NORFOLK,ORD1,750 WEST BERLEY AVE, , ,NORFOLK,VA,23523,A,CRTCAL,,
BASS PRODUCTS,ORD1,435 Lake Avenue, , ,BRISTOL,CT,06010,A,MARINE,,
BATTERIES PLUS BULBS,PMT1,1020 N. Battlefield Blvd., , ,Chesapeake,VA,23320,A,ELCTRN,,
BATTERIES PLUS BULBS,PMT2,929 VENTURES WAY SUITE 102, , ,CHESAPEAKE,VA,23320,A,ELCTRN,,
BATTERIES PLUS BULBS,PMT3,1450 Bush Streeth, , ,San Francisco,CA,94109,A,ELCTRN,,
BATTERIES PLUS BULBS,PMT 1,929 VENTURES WAY,SUITE 102, ,CHESAPEAKE,VA,23320,A,BATTER,,
BATTERIES PLUS BULBS,757,1020 N. Battlefield Blvd, , ,CHESAPEAKE,VA,23320,A,BATTER,,
BATTERY OUTLET - CHESPKE,ORD1,1608 CAMPOSTELLA RD, , ,CHESAPEAKE ,VA,23324,A,ELECTR,,
BATTERY OUTLET - CHESPKE,PMT1,2815 GEORGE WASHINGTON HIGHWAY, , ,YORKTOWN,VA,23693,A,ELECTR,,
BATTERY OUTLET - YORKTOWN,PMT1,2815 GEORGE WASHINGTON HIGHWAY, , ,YORKTOWN,VA,23693,A,ELECTR,,
"BATTERY OUTLET, INC.",PMT1,1608 Campostella Road, , ,Chesapeake,VA,23324-2800,A,ELCTRN,,
"BATTERY OUTLET, INC.",PMT2,2815 GEORGE WASHINGTON HIGHWAY, , ,YORKTOWN,VA,23693,A,ELCTRN,,
BAY DIESEL CORPORATION,PMT1,3736 COOK BLVD, , ,CHESAPEAKE,VA,23323,A,EQUIP,,
BAY DIESEL CORPORATION,ORD1,3736 COOK BLVD, , ,CHESAPEAKE,VA,23323,A,EQUIP,,
"BAY TRAVEL LIFT, LLC",ORD1,123 Washington Rd, , ,Stevensville,MD,21666,A,TRANSP,,
BDI WORDLWIDE,ORD1,10470 WILDEN DR,SUITE G, ,ASHLAND,VA,23005,A,HDW,,
BDI WORDLWIDE,PMT1,PO BOX 74069, , ,CLEVELAND,OH,44194,A,HDW,,
BEACH  MARINE SERVICES,ORD1,801 Victory Blvd, , ,PORTSMOUTH,VA,23702,A,TOOLS,,
BEECH DESIGN,ORD1,642 Wabash Avenue NW, , ,NEW PHILADELPHIA,OH,44663,A,ELECTR,,
BEI SENSORS,ORD1,7230 Hollister Ave., , ,Goleta,CA,93117,A,ELCTRN,,
"BELLOFRAM SILICONE, INC",ORD1,8019 Ohio River BLVD, , ,Newell,WV,26050,A,RUBBR,,
"BELLOFRAM SILICONE, INC",PMT1,PO BOX 772256, , ,DETROIT,MI,48277,A,RUBBR,,
BERGQUIST COMPANY,PMT1,18930 W. 78th Street, , ,CHANHASSEN,MN,55317,A,ELECTR,,
BEYOND COMPONENTS ,ORD1,115 PAPER MILL AVE, , ,DOWNINGTON,PA,19335,A,ELCTRN,,
BEYOND COMPONENTS ,PMT1,5 CARL THOMPSON WAY, , ,WESTFORD,MA,01886,A,ELCTRN,,
"BFG MARINE, INC.",PMT1,200 Candlewood Rd, , ,BAY SHORE,NY,11706,A,MARINE,,
BINSFELD ENGINEERING INC.,ORD,4571 W. MacFarlane Rd., , ,Maple City,MI,49664,A,EQUIP,,
BINSWANGER GLASS #38,PMT2,1005 N BATTLEFIELD BLVD, , ,CHESAPEAKE,VA,23320,A,GLASS,,
BINSWANGER GLASS #38,PMT 1,12608 WARWICK BLVD, , ,NEWPORT NEWS,VA,23606,A,GLASS,,
BISCO INDUSTRIES,ORD1,5065 E Hunter AVE , , ,ANAHEIM,CA,92807-6001,A,HDW,,
BISCO INDUSTRIES,PMT1,PO BOX 68062, , ,ANAHEIM,CA,92817,A,HDW,,
BISCO INDUSTRIES INC,ORD1,5065 E Hunter AVE , , ,ANAHEIM,CA,92807-6001,A,CRTCAL,,
BISCO INDUSTRIES INC,PMT 1,PO BOX 68062, , ,ANAHEIM,CA,92817,A,CRTCAL,,
BISON LIFTING EQUIPMENT,ORD1,31 Iron Horse Rd, , ,Oakland,NJ,07436,A,TOOLS,,
BISON LIFTING EQUIPMENT,1099,31 IRON HORSE RD, , ,OAKLAND,NJ,07436,A,TOOLS,,
"BJG ELECTRONICS, INC.",PMT1,141 REMINGTON BLVD, , ,RONKONKOMA,NY,11779,A,ELECTR,,
BLACK & DECKER (U.S.) INC,ORD1,11 GRAMMES ROAD, , ,ALLENTOWN,PA,18103,A,HDW,,
BLACK & DECKER (U.S.) INC,PMT1,P.O. BOX 371744, , ,PITTSBURGH,PA,15251-7744,A,HDW,,
BLACK & DECKER (U.S.) INC,W-9,701 E. JOPPA ROAD, , ,TOWNSON,MD,21286,A,HDW,,
BLOOM MFG. INC.,PMT1,1443 220TH STREET, , ,INDEPENDENCE,IA,50644,A,HDW,,
BLUE RIDGE MACHINERY,PMT1,PO BOX 536, , ,HURRICANE,WV,25526,A,CRTCAL,,
BLUE SKY,ORD1,595 MONTEREY PASS ROAD, , ,MONTEREY PARK,CA,91754,A,HDW,,
BLUE SKY,PMT1,595 MONTEREY PASS ROAD, , ,MONTEREY PARK,CA,91754,A,HDW,,
BLUELINE RENTAL LLC,PMT1,PO BOX 840062, , ,DALLAS,TX,75284-0062,A,RENTAL,,
BMG METALS INC.,ORD1,3325 BUSINESS CENTER DRIVE, , ,CHESAPEAKE,VA,23323,A,AL/STL,,
BMG METALS INC.,PMT 2,P.O. BOX 7433, , ,MERRIFIELD,VA,22116-7433,A,AL/STL,,
BMG METALS INC.,PMT1,P.O. BOX 7536, , ,RICHMOND,VA,23231-0036,A,AL/STL,,
BMG METALS INC..,PMT1,PO BOX 7433, , ,MERRIFIELD,VA,22116-7433,A,AL/STL,,
"BOB'S BOAT TRAILER, INC",1,3147 Azalea Garden Road, , ,Norfolk,VA,23513,A,CRTCAL,,
"BOCK DRUM CO., INC.",ORD1,2610 FLORIDA AVE, , ,NORFOLK,VA,23513,A,DRUMS,,
"BOCK DRUM CO., INC.",PMT1,2610 FLORIDA AVENUE, , ,"NORFOLK,",VA,23513,A,DRUMS,,
"BOCK DRUM CO., INC.",PMT1,2610 FLORIDA AVE, , ,NORFOLK,VA,23513,A,DRUMS,,
BOLL FILTER CORPORATION ,ORD,22635 VENTURE DR, , ,NOVI,MN,48375-4182,A,CRTCAL,,
BRAAS COMPANY,PMT1,7970 Wallace Road, , ,Eden Prairie,MN,55344,A,ELCTRN,,
BRAAS COMPANY,ORD1,P.O. Box 609, , ,Salem,VA,24153-0609,A,ELCTRN,,
BRAAS COMPANY,PMT 1,7970 WALLACE ROAD, , ,EDEN PRAIRIE,MN,55344,A,ELCTR,,
BRAAS COMPANY,PMT 2,PO Box 7410119, , ,Chicago,IL,60674-0119,A,ELCTRN,,
BRAAS COMPANY,ORD1,1302 Richard Street, , ,SALISBURY,NC,28144,A,ELCTR,,
BRADKEN,ORD1,3040 Osler St,LONDON, ,ONTARIO,ON,N5V1V3,A,CRTCAL,,
BREEGER MEDIA GROUP,PMT1,PO 120470, , ,NEWPORT NEWS,VA,23612-0470,A,LBL,,
"BRIAR TEK, INC.",PMT1,3129 Mount Vernon Ave, , ,ALEXANDRA,VA,22305,A,ELCTR,,
BRIDGESTONE HOSEPOWER,PMT 2,P.O. BOX 947777, , ,ATLANTA,GA,30394-7777,A,CRTCAL,,
BRIDGESTONE HOSEPOWER,PMT 1,PO BOX 861777, , ,ORLANDO,FL,32886-1777,A,CRTCAL,,
BRIDGESTONE HOSEPOWER,ORD1,3474 E VIRGINIA BEACH BLVD, , ,NORFOLK,VA,32502,A,CRTCAL,,
BRIDGESTONE HOSEPOWER,ORD1,3474 E VIRGINIA BEACH BLVE, , ,NORFOLK,VA,32502,A,CRTCAL,,
BRIDGESTONE HOSEPOWER,PMT1,PO BOX 861777, , ,ORLANDO,FL,32886,A,CRTCAL,,
BURNSTINE'S DIVISON OF CO,ORD1,17880 COMMERCE DRIVE,P.O. BOX 1009, ,BRISTOL,IN,46507,A,HDW,,
BUTLER TECHNOLOGIES INC.,REMIT,231 West Wayne Street, , ,Butler,PA,16001,A,ELCTRN,,
C & T MARINE,ORD1,1 Beechwood Ct, , ,Portsmouth,VA,23702,A,CRTCAL,,
C&B TECHNOLOGY,ORD1,804-H Industrial Ave, , ,CHESAPEAKE,VA,23324,A,SUB,,
C&C TOOL AND SUPPLY,ORD1,833 Craghead St., , ,Danville,VA,24541,A,TOOLS,,
C&C TOOL AND SUPPLY,PMT1,833 CRAGHEAD ST, , ,DANVILLE,VA,24541,A,TOOLS,,
"C.E. THURSTON & SONS, INC",1099,PO BOX 10286, , ,NORFOLK,VA,23513-0286,A,HDW,,
"C.E. THURSTON & SONS, INC",ORD1,3550 E. VIRGINIA BEACH BLVE, , ,NORFOLK,VA,23502,A,HDW,,
"C.E. THURSTON & SONS, INC",PMT1,PO BOX 10286, , ,NORFOLK,VA,23513-0286,A,HDW,,
"C.E. THURSTON & SONS, INC",ORD1,3550 VIRGINIA BEACH BLVD., , ,NORFOLK,VA,23502,A,HDW,,
"C.E. THURSTON & SONS, INC",PMT 2,PO BOX 10286, , ,NORFOLK,VA,23513-0286,A,HDW,,
"C.E. THURSTON & SONS, INC",PMT1,1961 DIAMOND SPRINGS ROAD, , ,VIRGINIA BEACH,VA,23455,A,HDW,,
C.S. CONTROLS,ORD1,101 DICKINSON RD, , ,HOUMA,LA,70363,A,CRTCAL,,
C2G,ORD1,3555 Kettering Blvd, , ,Moraine,OH,45439,A,CRTCAL,,
C2G,ORD2,P.O.BOX 373273, , ,Cleveland,OH,44193,A,CRTCAL,,
C2G,PMT 1,P.O. BOX 3520, , ,CAROL STREAM,IL,60132,A,CRTCAL,,
CABLE SYSTEMS,ORD1,3411 Progress Road, , ,Norfolk,VA,23502,A,WR/CBL,,
CABLES ON DEMAND,ORD1,20 VALLEY STREET, , ,ENDICOTT,NY,13760,A,ELECT,,
CALNETIX TECHNOLOGIES LLC,ORD1,16323 Shoemaker Ave., , ,Cerritos,CA,90703,A,CRTCAL,,
CALNETIX TECHNOLOGIES LLC,SHIP1,16323 Shoemaker Ave., , ,Cerritos,CA,90703,A,CRTCAL,,
CANNON LOAD BANKS,PMT 1,85 NORTH INDUSTRIAL ROAD, , ,PALMETTO,GA,30268,A,EQUIP,,
CANNON LOAD BANKS,ORD1,502 Park Street, , ,Palmetto,GA,30268,A,EQUIP,,
CAPITAL MACHINE,ORD1,911 US HIGHWAY 301 SOUTH, , ,TAMPA,FL,33619,A,CRTCAL,,
CAPITOL FINISHES INC,PMT1,9601 PULASKI PARK DR.,SUITE #414, ,BALTIMORE,MD,21220,A,COATNG,,
CAPITOL FINISHES INC,ORD1,2506 Colley Ave, , ,Norfolk,VA,23517,A,COATNG,,
CAROLINA FLUID COMPONENTS,ORD1,9309 STOCKPORT PL, , ,CHARLOTTE,NC,28273,A,HDW,,
CAROLINA FLUID COMPONENTS,PMT1,P.O. BOX 601687, , ,CHARLOTTE,NC,28260-1687,A,HDW,,
CARTER MACHINERY COMPANY ,PMNT 1,PO BOX 751053, , ,CHARLOTTE,NC,28275-1053,A,EQUIP,,
CARTER MACHINERY COMPANY ,ORD1,1330 Lynchburg Turnpike, , ,Salem,VA,24153,A,EQUIP,,
CARTER MACHINERY COMPANY ,ORD1,1330 LYNCHBURG TERRACE, , ,SALEM,VA,24153,A,EQUIP,,
CARTER MACHINERY COMPANY ,PMT1,PO BOX 751053, , ,CHARLOTTE,NC,28275-1053,A,EQUIP,,
CAT LAB CORP,ORD1,PO Box 6598, , ,Williamsburg,VA,23188,A,CALIB,,
CDW,PMT1,PO Box 75723, , ,Chicago,IL,60675-5723,A,ELCTRN,,
CDW,ORD1,PO BOX 75723, , ,CHICAGO,IL,60675,A,ELCTRN,,
CEJAY ENGINEERING,ORD1,24600 SOUTH TAMIAMI TRAIL, , ,BONITA SPRINGS,FL,34134,A,ELCTRN,,
CENTRAL RADIO COMPANY INC,ORD1,1083 W 39TH STREET,P.O. BOX 6348, ,NORFOLK,VA,23508,A,SFTY,,
CENTRAL RADIO COMPANY INC,PMT1,P.O. BOX 6348, , ,NORFOLK,VA,23508,A,SFTY,,
CENTURY FASTENERS,ORD1,10238 SYCAMORE DRIVE,LAKERIDGE IND. PARK, ,ASHLAND,VA,23005,A,HDW,,
CENTURY FASTENERS,PMT1,50-20 IRELAND ST, , ,ELMHURST,NY,11373,A,HDW,,
CERTIFIED LABORATORIES,PMT1,23261 NETWORK PLACE, , ,CHICAGO,IL,60673-1232,A,CRTCAL,,
CFE EQUIPMENT CORP.,PMT1,818 WIDGEON RD., , ,NORFOLK,VA,23513,A,TOOLS,,
"CHASE SUPPLY, INC.",ORD1,613 KEITH LANE, , ,OWINGS,MD,20736,A,HDW,,
"CHASE SUPPLY, INC.",PMT1,307 E STREET, , ,HAMPTON,VA,23661,A,HDW,,
CHATHAM STEEL CORPORATION,PMT1,PO BOX 930362, , ,ATLANTA,GA,31193,A,STL,,
CHEMICAL CLEANING SPECIAL,ORD1,803 Industrial Ave, , ,Chesapeake,VA,23324,A,CRTCAL,,
CHEMSOL,PMT 1,5320 E 25TH STREET, , ,INDIANAPOLIS,IN,46218,A,CHEM,,
CHEMSOL,ORD1,8423 BOETTNER TOAD, , ,BRIDGEWATER,MI,48115,A,CHEM,,
CHESAPEAKE BAY DIVING,ORD1,655 MT VERNON AVE, , ,PORTSMOUTH,VA,23707,A,CRTCAL,,
CHESAPEAKE BAY RUBBER,PMT1,P.O. BOX 12828, , ,NORFOLK,VA,23541,A,RUBBER,,
CHESAPEAKE BAY RUBBER,ORD1,3131 E PRINCESS ANNE RD, , ,NORFOLK,VA,23541,A,RUBBER,,
CHESAPEAKE GLASS,PMT1,P.O. BOX 13584, , ,CHESAPEAKE,VA,23325-3584,A,GLASS,,
CHESAPEAKE MARINE REFRIG,PMNT 1,2626 CROMWELL ROAD, , ,NORFOLK,VA,23509,A,CRTCAL,,
CHICAGO METAL ROLLED PROD,PMT1,6289 Eagle Way, , ,Chicago,IL,60678-1062,A,CRTCAL,,
CHICAGO METAL ROLLED PROD,ORD1,3715 South Rockwell St., , ,Chicago,IL,60632,A,CRTCAL,,
CHROMALOX,ORD1,103 Gamma Drive, , ,Pittsburgh,PA,15238,A,HDW,,
CIL ELECTROPLATING,ORD1,400 CANAL STREET, , ,LAWRENCE,MA,01840,A,CRTCAL,,
CIL ELECTROPLATING,ORD2,125 GLENN STREET, , ,LAWRENCE,MA,01843,A,CRTCAL,,
"CIMQUEST, INC.",ORD1,3434 Route 22 West,Suite 130, ,Branchburg,NJ,08876,A,CAD,,
"CIMTEC AUTOMATION, LLC.",ORD1,3030 WHITEHALL PARK DR., , ,CHARLOTTE,NC,28273,A,CRTCAL,,
"CIMTEC AUTOMATION, LLC.",PMT1,P.O. BOX 538458, , ,ATLANTA,GA,30353,A,CRTCAL,,
"CIMTEC AUTOMATION, LLC.",PMT3,PO BOX 604012, , ,CHARLOTTE,NC,28260-4012,A,CRTCAL,,
"CIMTEC AUTOMATION, LLC.",ORD1,3030 Whitehall Park Drive, , ,Chrlottee,NC,28273,A,CRTCAL,,
"CIMTEC AUTOMATION, LLC.",PMT1,PO Box 890854, , ,Charlotte,NC,28289-0854,A,CRTCAL,,
"CIMTEC AUTOMATION, LLC.",PMT2,PO BOX 538458, , ,ATLANTA,GA,30353,A,CRTCAL,,
CINCINATI GEARING SYSTEMS,ORD 1,5757 MARIEMONT AVE, , ,CINCINATI,OH,45227,A,EQUIP,,
CINCINATI GEARING SYSTEMS,ORD1,5757 MARIEMONT AVE, , ,CINCINATI,OH,45227,A,EQUIP,,
CITY ELECTRIC SUPPLY CO.,PMT6,PO BOX 13507, , ,GREENSBORO,NC,27415,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,ORD1,5875 ASSERLEY STREET, , ,NORFOLK,VA,23502,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,ORD2,11733 PHILLIPS HIGHWAY, , ,JACKSONVILLE,FL,32256,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,ORD3,4001B HOLLAND BLVD, , ,CHESAPEAKE,VA,23323,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,ORD4,3118 SALEM TUNRPIKE, , ,ROANOKE,VA,24017,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,PMT1,5875 ADDERLEY STREET, , ,NORFOLK,VA,23502,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,PMT2,PO BOX 71465, , ,NORTH CHARLESTON,SC,29415,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,PMT3,3001 S. ELM-EUGENE ST, , ,GREENSBORO,NC,27406,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,PMT4,PO BOX 16886, , ,GREENSBORO,NC,27416,A,ELECT,,
CITY ELECTRIC SUPPLY CO.,PMT5,PO BOX 16707, , ,GREENSBORO,NC,27416,A,ELECT,,
CLARK DYNAMIC TEST LABORA,ORD1,1801 Route 51 South, , ,Jefferson Hills,PA,15025,A,CRTCAL,,
CLARK DYNAMIC TEST LABORA,PMT1,1801 Route 51 South,Building 8, ,Jefferson Hills,PA,15025,A,CRTCAL,,
"CLAYTON INDUSTRIES, INC.",PMT1,17477 HURLEY STREET, , ,CITY OF INDUSTRY,CA,92744,A,CRTCAL,,
CLEARFIELD MMG,ORD2,PO Box 1444, , ,CHESAPEAKE,VA,23324,A,ELECTR,,
CLEARFIELD MMG,ORD1,3900 Shannon Street, , ,CHESAPEAKE,VA,23324,A,ELECTR,,
CLEARWATER INCORPORATED,REMIT,PO BOX 1469, , ,Hickory,NC,28603,A,ELCTRN,,
CLEARWATER INCORPORATED,ORD1,502 Research Road, , ,Richmond,VA,23236,A,ELCTRN,,
CLEARWATER INCORPORATED,ORD1,502 RESERCH ROAD, , ,RICHMOND,VA,23236,A,TOOL,,
CMM TECHNOLOGY,ORD1,1230 Puerta del Sol, , ,San Clemente,CA,92673,A,CRTCAL,,
"CMP GLOBAL, INC.",ORD1,2000 AMEDEO CT., , ,SUFFOLK,VA,23434,A,ANODES,,
"CMP GLOBAL, INC.",PMT 2,P.O. Box 771984, , ,Chicago,IL,60677-1984,A,ANODES,,
"CMP GLOBAL, INC.",PMT 1,5391 Virginia Regional Drive,Suite 200, ,Suffolk,VA,23434,A,ANODES,,
COASTAL FIBERGLASS LLC,ORB,738 BURROW AVE, , ,CHESAPEAKE,VA,23324,A,CRTCAL,,
COASTAL MARINE SERVICES ,ORD1,2255 NATIONAL AVE, , ,SAN DIEGO,CA,92113,A,PAINT,,
COASTAL MARINE SERVICES ,PMT1,2255 NATIONAL AVE, , ,SAN DIEGO,CA,92113,A,PAINT,,
COASTAL MECHANICAL SYS,PMT1,3460 TRANT AVE., , ,NORFOLK,VA,23502,A,CRTCAL,,
COASTAL SERVICES,ORD1,"805 FORD DRIVE, UNIT A", , ,NORFOLK,VA,23523,A,CRTCAL,,
COASTWISE MARINE CHEMIST,PMT1,801 RAILWAY ROAD, , ,YORKTOWN,VA,23692,A,CRTCAL,,
"COLLINS ENGINEERS, INC",ORD1,745 BLUECRAB RD,SUITE B, ,NEWPORT NEWS,VA23606, ,A,CRTCAL,,
"COLLINS ENGINEERS, INC",PMT 1,123 N. WACKER DRIVE,SUITE 900, ,CHICAGO,IL,60606,A,CRTCAL,,
COLLINS MACHINE WORKS,ORD1,2707 SYER ROAD, , ,PORTSMOUTH,VA,23707,A,CRTCAL,,
COLLINS MACHINE WORKS,ORD1,2707 Syer Rd, , ,Portsmouth,VA,23707-4743,A,CRTCAL,,
COLONIAL WELDING,ORD1,5801 Curlew Dr, , ,Norfolk,VA,23502,A,CRTCAL,,
COLONNA'S SHIPYARD,PMT1,PO BOX 890461, , ,CHARLOTTE,NC,28289-0461,A,CRTCAL,,
COLONNA'S SHIPYARD,ORD1,400 INDIAN RIVER ROAD, , ,NORFOLK,VA,23523,A,CRTCAL,,
COLONNA'S SHIPYARD,ORD2,WELD AMERICA,501 E. INDIAN RIVER ROAD, ,NORFOLK,VA,23523,A,CRTCAL,,
COLONNA'S SHIPYARD,ORD1,COLONNA'S SHIPYARD,400 INDIAN RIVER ROAD, ,NORFOLK,VA,23523,A,CRTCAL,,
COLONNA'S SHIPYARD,PMT1,PO BOX 890461, , ,CHARLOTTE,NC,28289,A,CRTCAL,,
"COMARK, LLC",1099,440 FORTUNE BLVD, , ,MILFORD,MA,01757,A,ELCTRN,,
"COMARK, LLC",PMT 2,440 Fortune Blvd., , ,Milford,MA,01757,A,ELCTRN,,
"COMARK, LLC",PMT 3,5840 INTERFACE DRIVE,SUITE 100, ,ANN ARBOR,MI,48103,A,ELCTRN,,
"COMARK, LLC",PMT1,450 Fortune Blvd, , ,Milford,MA,01757,A,ELCTRN,,
"COMARK, LLC",PMT2,440 Fortune Blvd, , ,Milford,MA,01757,A,ELCTRN,,
COMMONWEALTH CONTROLS,REMIT,7630 Whitepine Road, , ,Richmond,VA,23237,A,ELCTRN,,
COMMUNICATION SUPPLY CORP,ORD1,909 Ventures Way, , ,Chesapeake,VA,23320,A,ELCTRN,,
COMMUNICATION SUPPLY CORP,PMT1,3462 Solutions Center Drive, , ,Chicago,IL,60677-3004,A,ELCTRN,,
COMPASS WATER SOLUTIONS,ORD1,15542 Mosher Ave, , ,Tustin,CA,92780-6425,A,WATER,,
COMPRESSED AIR SYSTEMS,PMT2,475 W. JAKE ALEXANDER BLVD,STE 102 PMB# 113, ,SALISBURY,NC,28147,A,CRTCAL,,
COMPRESSED AIR SYSTEMS,PMT1,850 W. JAKE ALEXANDER BLVD.,STE. G  PMB# 113, ,SALISBURY,NC,28147,A,CRTCAL,,
CONSOLIDATED CONTAINER ,PMT 1,1700 ROYAL COVE COURT , , ,VIRGINIA BEACH,VA,23454-2520,A,CONTNR,,
CONSOLIDATED MARINE SYS,ORD1,660 Mt. Vernon Ave., , ,Portsmouth,VA,23707,A,MACHNG,,
CONSOLIDATED MARINE SYS,PMNT 1,500 CRAWFORD STREET,SUITE 401, ,PORTSMOUTH ,VA,23704,A,MACHNG,,
CONSOLIDATED MARINE SYS,1099,500 CRAWFORD STREET,SUITE 401, ,PORTSMOUTH,VA,23704,A,MACHNG,,
"CORE MECHANICAL, INC.",08109,7905 Browning Road *, Suite 110, ,Pennsauken,NJ,08109,A,CRTCAL,,
