COMPANY_ID,PO_ID,PO_LN_NO,ITEM_ID,RECPT_LN_DESC,DUE_DT,RECPT_DT,RECPT_ID,RECV_UM_CD,RECV_QTY,ACCPT_QTY,REJ_QTY,RECV_AMT,ACCPT_AMT,REJ_AMT,PROJ_ID,VEND_ID,VEND_LONG_NAME,PO_LINE#,ON_TIME_TEST,WEEK_RECPT_DT,YEAR_RECPT_DT,DAYS_LATE
07,FBW2014701,1,3M 6885,"LENS COVER, FOR 6800 RESPIRATOR, 25/BAG",4/2/2021,3/29/2021,POR0013976,BAG,2,2,0,89,89,0,07OHD.GENR.03.01,10150,ADVANCE SAFETY EQUIPMENT CO.,FBW2014701_1,On Time,14,2021,0
07,FBW2017059,1,70156521,"ACCESSORY, BOOT, SILICONE RUBBER POLYMER, BRASS, 15/32-32NS-",12/1/2021,11/15/2021,POR-003612,EA,40,40,0,100,100,0,D1905.0001.08,11525,AWC - ALLIED WIRE & CABLE,FBW2017059_1,On Time,47,2021,0
07,FBW2017059,2,M24308/2-1F,"D-SUB MIL SPEC CONNECTOR 9P RECEPTACLE, FEMALE, 9 POSITION",12/1/2021,11/15/2021,POR-003612,PC,4,4,0,117.04,117.04,0,D1905.0001.08,11525,AWC - ALLIED WIRE & CABLE,FBW2017059_2,On Time,47,2021,0
07,FBW2017059,3,M24308/4-1F,D-SUB MIL SPEC CONNECTORS D-SUB 9P MALE CRIMP CONTACT,12/1/2021,11/15/2021,POR-003612,PC,4,4,0,91.4,91.4,0,D1905.0001.08,11525,AWC - ALLIED WIRE & CABLE,FBW2017059_3,On Time,47,2021,0
02,F205550,1,HWS600-24/HD,"POWER SUPPLY, 120VAC/24VDC, 600 WATTS",7/30/2021,3/25/2021,POR-012975,EA,6,6,0,3551.52,3551.52,0,20549.0003.01,120009,"ALLIED ELECTRONICS, INC.",F205550_1,On Time,13,2021,0
02,F205488,1,2214 F/2TDHHO,"FAN, 35W, 553 CFM",5/5/2021,4/8/2021,POR-013058,EA,78,78,0,13650,13650,0,02INV.CTRL,120009,"ALLIED ELECTRONICS, INC.",F205488_1,On Time,15,2021,0
02,F206027,1,11121015,"FERRULE, 16 AWG, INSULATED, BLACK, PK=500",4/9/2021,4/2/2021,POR-013019,PK,2,2,0,50.8,50.8,0,20550.0004,120009,"ALLIED ELECTRONICS, INC.",F206027_1,On Time,14,2021,0
02,F206027,2,11121025,"FERRULE, 14 AWG, INSULATED, BLUE, PK=500",4/9/2021,4/2/2021,POR-013019,PK,1,1,0,23.49,23.49,0,20550.0004,120009,"ALLIED ELECTRONICS, INC.",F206027_2,On Time,14,2021,0
02,F206027,3,11101010,"FERRULE, 18 AWG, INSULATED, RED, PK=500",4/9/2021,4/2/2021,POR-013019,PK,1,1,0,21.82,21.82,0,20550.0004,120009,"ALLIED ELECTRONICS, INC.",F206027_3,On Time,14,2021,0
02,F206027,4,TRD855SCR-5,"L-COM  TRD855SCR-5  Network Cable, Cat5e, RJ45 Plug, RJ45 Pl",4/9/2021,4/2/2021,POR-013019,EA,8,8,0,92.72,92.72,0,20550.0004,120009,"ALLIED ELECTRONICS, INC.",F206027_4,On Time,14,2021,0
02,F206140,1,AN-2804-AB,"ENCLOSURE, FLANGED, ALUMINUM, BLACK",4/22/2021,4/21/2021,POR-013122,EA,6,6,0,176.58,176.58,0,20481.0003,120009,"ALLIED ELECTRONICS, INC.",F206140_1,On Time,17,2021,0
02,F204777,8,MS3102R18-11S,"CONNECTOR, RECEPTACLE, CIRCULAR, SIZE 18, 5 POS, SOCKET",4/16/2021,12/24/2020,POR-012442,EA,12,12,0,154.32,154.32,0,20481.0003,120009,"ALLIED ELECTRONICS, INC.",F204777_8,On Time,52,2020,0
02,F205684,1,4114 NH3,"FAN, 24 VDC, 310 M3/HR ",3/3/2021,3/1/2021,POR-012829,EA,4,4,0,295.88,295.88,0,20550.0004,120009,"ALLIED ELECTRONICS, INC.",F205684_1,On Time,10,2021,0
02,F205684,2,LZ30,"FINGER GUARD, 119mm",3/10/2021,3/1/2021,POR-012829,EA,4,4,0,25.96,25.96,0,20550.0004,120009,"ALLIED ELECTRONICS, INC.",F205684_2,On Time,10,2021,0
02,F205559,1,HWS600-24/HD,"POWER SUPPLY, 120VAC/24VDC, 600 WATTS",3/26/2021,3/11/2021,POR-012904,EA,9,9,0,5327.28,5327.28,0,02INV.CTRL,120009,"ALLIED ELECTRONICS, INC.",F205559_1,On Time,11,2021,0
02,F205559,1,HWS600-24/HD,"POWER SUPPLY, 120VAC/24VDC, 600 WATTS",3/26/2021,3/19/2021,POR-012954,EA,14,14,0,8286.88,8286.88,0,02INV.CTRL,120009,"ALLIED ELECTRONICS, INC.",F205559_1,On Time,12,2021,0
02,F206236,1,37TB08B,"TERMINAL STRIP, 8 POLE, 300V AC/DC, #16 AWG",4/30/2021,4/28/2021,POR-013152,EA,4,4,0,236.92,236.92,0,B6138.0007.01,120009,"ALLIED ELECTRONICS, INC.",F206236_1,On Time,18,2021,0
02,F206236,2,37TB08B,"TERMINAL STRIP, 8 POLE, 300V AC/DC, #16 AWG",4/30/2021,4/28/2021,POR-013152,EA,4,4,0,236.92,236.92,0,B6138.0008.01,120009,"ALLIED ELECTRONICS, INC.",F206236_2,On Time,18,2021,0
02,F206336,1,54105,"COPPER TUBULAR LUG, CRIMP - .25 STUD, 6AWG COPPER",5/21/2021,5/12/2021,POR-013224,EA,6,6,0,4.98,4.98,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_1,On Time,20,2021,0
02,F206336,2,54130,"LUG, #8 AWG, 1 HOLE, 1/4",5/21/2021,5/12/2021,POR-013224,EA,7,7,0,5.67,5.67,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_2,On Time,20,2021,0
02,F206336,3,54134,"Lug, Straight, 6 AWG wire, #10 stud",5/21/2021,5/12/2021,POR-013224,EA,4,4,0,3.28,3.28,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_3,On Time,20,2021,0
02,F206336,4,14RBD-18277,FEMALE DISCONNECT TAB SIZE 0.187 X 020 16-14 AWG BLUE COPPER,5/21/2021,5/12/2021,POR-013224,EA,100,100,0,57.84,57.84,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_4,On Time,20,2021,0
02,F206336,5,EV200AAANA,"Contactor, Relay, Electro Mechanical, 500A, 900VDC, SPST-NO",5/21/2021,5/12/2021,POR-013224,EA,6,6,0,774.36,774.36,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_5,On Time,20,2021,0
02,F206336,6,JE19,PANEL GASKET FOR SQUARE FLANGE RECEPTACLE,5/21/2021,5/12/2021,POR-013224,EA,1,1,0,2.44,2.44,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_6,On Time,20,2021,0
02,F206336,7,1233,"GROUND BRAID, 5/8-INCH WIDTH",5/21/2021,5/21/2021,POR-013307,FT,100,100,0,426.2,426.2,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_7,On Time,21,2021,0
02,F206336,8,54135,"Lug, Straight, 6 AWG wire, 5/16"" stud",5/21/2021,5/21/2021,POR-013307,EA,8,8,0,6.72,6.72,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_8,On Time,21,2021,0
02,F206336,9,70245495,PIR6W-1PS-24VAC/DC-R RELAY,5/21/2021,5/21/2021,POR-013307,EA,6,6,0,113.28,113.28,0,20676.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206336_9,On Time,21,2021,0
02,F206565,1,2214 F/2TDHHO,"FAN, 35W, 553 CFM",7/2/2021,6/17/2021,POR-013425,EA,2,2,0,426.72,426.72,0,20705.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206565_1,On Time,25,2021,0
02,F206575,1,HWS600-24/HD,"POWER SUPPLY, 120VAC/24VDC, 600 WATTS",7/2/2021,6/21/2021,POR-013445,EA,2,2,0,1246.14,1246.14,0,20705.0001.03,120009,"ALLIED ELECTRONICS, INC.",F206575_1,On Time,26,2021,0
02,F206320,1,WE02-GTD02-D,"VALVE,BALL",6/21/2021,6/25/2021,POR-300040,EA,3,3,0,2069.04,2069.04,0,20275.0003,120009,"ALLIED ELECTRONICS, INC.",F206320_1,Late,26,2021,4
02,F206646,1,6454 BK005,"CABLE, 3 COND, 22AWG, BLACK, SHLD, 100' ROL ",7/2/2021,6/30/2021,POR-013491,FT,100,100,0,123.11,123.11,0,02INV.CTRL,120009,"ALLIED ELECTRONICS, INC.",F206646_1,On Time,27,2021,0
